Entity,Code,Year,Coal per capita (kWh)
Africa,,1965,1006.3736
Africa,,1966,980.1728
Africa,,1967,976.7317
Africa,,1968,990.00665
Africa,,1969,973.52277
Africa,,1970,987.1568
Africa,,1971,1021.13116
Africa,,1972,998.12964
Africa,,1973,1034.6595
Africa,,1974,1048.2109
Africa,,1975,1080.2848
Africa,,1976,1119.8884
Africa,,1977,1113.191
Africa,,1978,1051.3849
Africa,,1979,1083.9161
Africa,,1980,1128.7816
Africa,,1981,1282.7428
Africa,,1982,1373.3988
Africa,,1983,1357.6967
Africa,,1984,1412.2949
Africa,,1985,1416.65
Africa,,1986,1408.8351
Africa,,1987,1408.5153
Africa,,1988,1472.529
Africa,,1989,1345.2413
Africa,,1990,1375.3315
Africa,,1991,1303.3723
Africa,,1992,1278.1522
Africa,,1993,1264.9296
Africa,,1994,1266.0471
Africa,,1995,1273.5476
Africa,,1996,1259.1172
Africa,,1997,1259.8368
Africa,,1998,1201.4733
Africa,,1999,1208.8739
Africa,,2000,1176.7845
Africa,,2001,1162.5586
Africa,,2002,1085.7644
Africa,,2003,1152.6593
Africa,,2004,1236.9413
Africa,,2005,1119.8129
Africa,,2006,1107.5465
Africa,,2007,1097.4657
Africa,,2008,1178.39
Africa,,2009,1143.7477
Africa,,2010,1104.7181
Africa,,2011,1060.2709
Africa,,2012,1007.6386
Africa,,2013,992.31165
Africa,,2014,1011.9638
Africa,,2015,932.8541
Africa,,2016,962.93146
Africa,,2017,938.2714
Africa,,2018,899.1999
Africa,,2019,926.9163
Africa,,2020,866.1459
Africa,,2021,832.18317
Africa,,2022,773.498
Algeria,DZA,1965,65.75259
Algeria,DZA,1966,62.698406
Algeria,DZA,1967,46.891083
Algeria,DZA,1968,48.49147
Algeria,DZA,1969,60.343834
Algeria,DZA,1970,69.96926
Algeria,DZA,1971,18.957115
Algeria,DZA,1972,16.10831
Algeria,DZA,1973,18.090183
Algeria,DZA,1974,14.582012
Algeria,DZA,1975,17.75042
Algeria,DZA,1976,33.12684
Algeria,DZA,1977,41.404335
Algeria,DZA,1978,20.446732
Algeria,DZA,1979,46.09241
Algeria,DZA,1980,39.719566
Algeria,DZA,1981,27.044617
Algeria,DZA,1982,485.55008
Algeria,DZA,1983,418.92966
Algeria,DZA,1984,449.032
Algeria,DZA,1985,452.94815
Algeria,DZA,1986,449.79886
Algeria,DZA,1987,521.6861
Algeria,DZA,1988,477.32697
Algeria,DZA,1989,392.96988
Algeria,DZA,1990,300.3428
Algeria,DZA,1991,302.61072
Algeria,DZA,1992,351.3135
Algeria,DZA,1993,279.7561
Algeria,DZA,1994,258.1021
Algeria,DZA,1995,253.19875
Algeria,DZA,1996,117.16412
Algeria,DZA,1997,202.01363
Algeria,DZA,1998,212.97617
Algeria,DZA,1999,224.96509
Algeria,DZA,2000,183.28574
Algeria,DZA,2001,208.737
Algeria,DZA,2002,270.29663
Algeria,DZA,2003,219.85916
Algeria,DZA,2004,258.6417
Algeria,DZA,2005,209.61511
Algeria,DZA,2006,306.79333
Algeria,DZA,2007,259.0617
Algeria,DZA,2008,254.67209
Algeria,DZA,2009,160.59137
Algeria,DZA,2010,100.54844
Algeria,DZA,2011,87.51887
Algeria,DZA,2012,91.140854
Algeria,DZA,2013,48.35552
Algeria,DZA,2014,53.709003
Algeria,DZA,2015,39.11651
Algeria,DZA,2016,14.126908
Algeria,DZA,2017,51.454483
Algeria,DZA,2018,138.69342
Algeria,DZA,2019,112.47274
Algeria,DZA,2020,35.062637
Algeria,DZA,2021,70.288666
Algeria,DZA,2022,33.33789
Argentina,ARG,1965,383.38528
Argentina,ARG,1966,311.19852
Argentina,ARG,1967,344.5266
Argentina,ARG,1968,329.6432
Argentina,ARG,1969,388.63998
Argentina,ARG,1970,491.6619
Argentina,ARG,1971,424.28192
Argentina,ARG,1972,351.4958
Argentina,ARG,1973,379.54825
Argentina,ARG,1974,464.67725
Argentina,ARG,1975,444.85757
Argentina,ARG,1976,442.8479
Argentina,ARG,1977,412.0908
Argentina,ARG,1978,494.3319
Argentina,ARG,1979,453.21967
Argentina,ARG,1980,397.6687
Argentina,ARG,1981,370.9164
Argentina,ARG,1982,368.77783
Argentina,ARG,1983,329.50662
Argentina,ARG,1984,240.85461
Argentina,ARG,1985,349.97073
Argentina,ARG,1986,393.82132
Argentina,ARG,1987,430.53174
Argentina,ARG,1988,434.58524
Argentina,ARG,1989,463.3114
Argentina,ARG,1990,375.82758
Argentina,ARG,1991,326.0463
Argentina,ARG,1992,362.48993
Argentina,ARG,1993,237.16255
Argentina,ARG,1994,204.85283
Argentina,ARG,1995,212.15955
Argentina,ARG,1996,219.46754
Argentina,ARG,1997,171.08888
Argentina,ARG,1998,227.34427
Argentina,ARG,1999,269.704
Argentina,ARG,2000,202.65689
Argentina,ARG,2001,164.26819
Argentina,ARG,2002,121.0583
Argentina,ARG,2003,146.13724
Argentina,ARG,2004,246.18864
Argentina,ARG,2005,280.56064
Argentina,ARG,2006,251.38326
Argentina,ARG,2007,360.12436
Argentina,ARG,2008,434.925
Argentina,ARG,2009,236.47763
Argentina,ARG,2010,327.78683
Argentina,ARG,2011,352.08057
Argentina,ARG,2012,325.82623
Argentina,ARG,2013,352.43954
Argentina,ARG,2014,371.09314
Argentina,ARG,2015,365.5849
Argentina,ARG,2016,279.11917
Argentina,ARG,2017,284.3127
Argentina,ARG,2018,308.6701
Argentina,ARG,2019,181.55925
Argentina,ARG,2020,222.3847
Argentina,ARG,2021,310.36655
Argentina,ARG,2022,316.3866
Asia,,1965,1369.7892
Asia,,1966,1413.6195
Asia,,1967,1337.4662
Asia,,1968,1325.739
Asia,,1969,1460.0359
Asia,,1970,1604.2441
Asia,,1971,1684.3048
Asia,,1972,1711.1748
Asia,,1973,1712.3218
Asia,,1974,1716.1182
Asia,,1975,1816.9825
Asia,,1976,1823.404
