Entity,Code,Year,Gas per capita (kWh)
Africa,,1965,29.777592
Africa,,1966,32.45205
Africa,,1967,31.268766
Africa,,1968,30.886887
Africa,,1969,35.162052
Africa,,1970,42.546124
Africa,,1971,49.06941
Africa,,1972,64.09115
Africa,,1973,100.0773
Africa,,1974,109.63275
Africa,,1975,128.45763
Africa,,1976,141.95807
Africa,,1977,154.48024
Africa,,1978,214.25261
Africa,,1979,318.05634
Africa,,1980,388.15622
Africa,,1981,460.98764
Africa,,1982,483.27896
Africa,,1983,516.3851
Africa,,1984,481.13828
Africa,,1985,501.82892
Africa,,1986,548.0153
Africa,,1987,549.89856
Africa,,1988,592.94904
Africa,,1989,598.02026
Africa,,1990,624.6817
Africa,,1991,613.1459
Africa,,1992,626.95386
Africa,,1993,598.78076
Africa,,1994,611.2313
Africa,,1995,636.78467
Africa,,1996,651.8774
Africa,,1997,623.30536
Africa,,1998,640.25085
Africa,,1999,630.73444
Africa,,2000,679.9203
Africa,,2001,756.00146
Africa,,2002,779.25494
Africa,,2003,806.4106
Africa,,2004,865.51917
Africa,,2005,870.81506
Africa,,2006,886.53125
Africa,,2007,922.1196
Africa,,2008,933.6526
Africa,,2009,915.423
Africa,,2010,930.04974
Africa,,2011,980.5272
Africa,,2012,1033.2534
Africa,,2013,1026.696
Africa,,2014,1028.2924
Africa,,2015,1104.5526
Africa,,2016,1113.1201
Africa,,2017,1147.8036
Africa,,2018,1192.3983
Africa,,2019,1168.5863
Africa,,2020,1129.5319
Africa,,2021,1208.8204
Africa,,2022,1138.9896
Algeria,DZA,1965,600.14075
Algeria,DZA,1966,611.9881
Algeria,DZA,1967,580.6141
Algeria,DZA,1968,596.8662
Algeria,DZA,1969,767.30194
Algeria,DZA,1970,705.34467
Algeria,DZA,1971,783.08215
Algeria,DZA,1972,888.5282
Algeria,DZA,1973,1207.8057
Algeria,DZA,1974,1364.3291
Algeria,DZA,1975,1811.7994
Algeria,DZA,1976,2041.6028
Algeria,DZA,1977,2095.2983
Algeria,DZA,1978,3269.7163
Algeria,DZA,1979,4487.468
Algeria,DZA,1980,5839.9077
Algeria,DZA,1981,7351.2935
Algeria,DZA,1982,8070.5225
Algeria,DZA,1983,8544.341
Algeria,DZA,1984,7256.925
Algeria,DZA,1985,6949.2666
Algeria,DZA,1986,7360.9546
Algeria,DZA,1987,7304.621
Algeria,DZA,1988,8007.922
Algeria,DZA,1989,7339.7373
Algeria,DZA,1990,7645.5117
Algeria,DZA,1991,7373.2754
Algeria,DZA,1992,7437.8086
Algeria,DZA,1993,6527.0747
Algeria,DZA,1994,6735.466
Algeria,DZA,1995,7100.958
Algeria,DZA,1996,7166.1226
Algeria,DZA,1997,6582.9766
Algeria,DZA,1998,6706.2153
Algeria,DZA,1999,6758.9854
Algeria,DZA,2000,6206.832
Algeria,DZA,2001,6324.227
Algeria,DZA,2002,6160.971
Algeria,DZA,2003,6424.146
Algeria,DZA,2004,6517.932
Algeria,DZA,2005,6783.444
Algeria,DZA,2006,6834.0645
Algeria,DZA,2007,6879.9414
