Entity,Code,Year,Low-carbon energy per capita (kWh - equivalent)
Africa,,1965,127.91771
Africa,,1966,139.12254
Africa,,1967,141.5766
Africa,,1968,161.39375
Africa,,1969,183.53688
Africa,,1970,223.56758
Africa,,1971,206.47203
Africa,,1972,229.00676
Africa,,1973,235.90248
Africa,,1974,261.10275
Africa,,1975,268.4201
Africa,,1976,289.09085
Africa,,1977,308.83777
Africa,,1978,302.6684
Africa,,1979,314.55762
Africa,,1980,298.0381
Africa,,1981,300.8455
Africa,,1982,292.26404
Africa,,1983,256.08322
Africa,,1984,265.54065
Africa,,1985,291.8409
Africa,,1986,311.7101
Africa,,1987,279.77744
Africa,,1988,314.52347
Africa,,1989,321.5825
Africa,,1990,306.7143
Africa,,1991,317.2472
Africa,,1992,297.76328
Africa,,1993,277.3539
Africa,,1994,283.73068
Africa,,1995,292.63663
Africa,,1996,298.35764
Africa,,1997,300.89166
Africa,,1998,309.1001
Africa,,1999,313.86746
Africa,,2000,326.31082
Africa,,2001,329.37195
Africa,,2002,338.04282
Africa,,2003,323.13937
Africa,,2004,332.14426
Africa,,2005,320.27176
Africa,,2006,319.1087
Africa,,2007,321.06006
Africa,,2008,321.584
Africa,,2009,319.3775
Africa,,2010,335.04123
Africa,,2011,332.93765
Africa,,2012,325.70526
Africa,,2013,336.1275
Africa,,2014,348.4203
Africa,,2015,341.52487
Africa,,2016,338.09384
Africa,,2017,353.65637
Africa,,2018,361.9109
Africa,,2019,378.7183
Africa,,2020,387.27393
Africa,,2021,401.61234
Africa,,2022,398.53394
Algeria,DZA,1965,95.53111
Algeria,DZA,1966,83.2235
Algeria,DZA,1967,94.0028
Algeria,DZA,1968,126.20633
Algeria,DZA,1969,79.1247
Algeria,DZA,1970,124.31607
Algeria,DZA,1971,69.15576
Algeria,DZA,1972,101.36669
Algeria,DZA,1973,150.38446
Algeria,DZA,1974,96.981804
Algeria,DZA,1975,61.67956
Algeria,DZA,1976,69.71108
Algeria,DZA,1977,46.42354
Algeria,DZA,1978,41.92492
Algeria,DZA,1979,47.365265
Algeria,DZA,1980,40.55343
Algeria,DZA,1981,55.92673
Algeria,DZA,1982,70.81954
Algeria,DZA,1983,33.59872
Algeria,DZA,1984,62.474915
Algeria,DZA,1985,86.30655
Algeria,DZA,1986,32.306145
Algeria,DZA,1987,62.55964
Algeria,DZA,1988,22.321026
Algeria,DZA,1989,26.849836
Algeria,DZA,1990,15.643562
Algeria,DZA,1991,33.15225
Algeria,DZA,1992,21.999186
Algeria,DZA,1993,38.159126
Algeria,DZA,1994,17.570253
Algeria,DZA,1995,20.039974
Algeria,DZA,1996,13.772591
Algeria,DZA,1997,7.5238814
Algeria,DZA,1998,21.245111
Algeria,DZA,1999,19.78077
Algeria,DZA,2000,5.1886096
Algeria,DZA,2001,6.4968305
Algeria,DZA,2002,5.2608757
Algeria,DZA,2003,23.974781
Algeria,DZA,2004,22.248251
Algeria,DZA,2005,48.24676
Algeria,DZA,2006,18.518274
Algeria,DZA,2007,18.8043
Algeria,DZA,2008,23.004215
Algeria,DZA,2009,27.13679
Algeria,DZA,2010,14.096054
Algeria,DZA,2011,29.90281
Algeria,DZA,2012,30.592276
Algeria,DZA,2013,9.151515
Algeria,DZA,2014,17.753038
Algeria,DZA,2015,15.118675
Algeria,DZA,2016,22.301409
Algeria,DZA,2017,37.457855
Algeria,DZA,2018,46.06531
Algeria,DZA,2019,47.960022
Algeria,DZA,2020,44.86581
Algeria,DZA,2021,40.501717
Algeria,DZA,2022,44.65196
Argentina,ARG,1965,164.26549
Argentina,ARG,1966,163.79047
Argentina,ARG,1967,165.11125
Argentina,ARG,1968,191.60696
Argentina,ARG,1969,169.22238
Argentina,ARG,1970,200.6452
Argentina,ARG,1971,196.51488
Argentina,ARG,1972,190.3889
Argentina,ARG,1973,361.89407
Argentina,ARG,1974,703.4868
Argentina,ARG,1975,877.5534
Argentina,ARG,1976,849.0485
Argentina,ARG,1977,819.8627
Argentina,ARG,1978,1154.0625
Argentina,ARG,1979,1430.321
Argentina,ARG,1980,1845.768
Argentina,ARG,1981,1815.5486
Argentina,ARG,1982,1994.7297
Argentina,ARG,1983,2199.662
Argentina,ARG,1984,2424.0454
Argentina,ARG,1985,2569.2527
Argentina,ARG,1986,2562.3198
Argentina,ARG,1987,2674.1653
Argentina,ARG,1988,1955.3174
Argentina,ARG,1989,1667.3499
Argentina,ARG,1990,2250.8433
Argentina,ARG,1991,2094.837
Argentina,ARG,1992,2299.145
Argentina,ARG,1993,2720.7554
Argentina,ARG,1994,3026.1912
Argentina,ARG,1995,2827.2356
Argentina,ARG,1996,2496.624
Argentina,ARG,1997,2953.3245
Argentina,ARG,1998,2765.2126
Argentina,ARG,1999,2301.9307
Argentina,ARG,2000,2788.158
Argentina,ARG,2001,3432.95
Argentina,ARG,2002,3237.2356
Argentina,ARG,2003,3190.3035
Argentina,ARG,2004,2909.835
Argentina,ARG,2005,3071.1472
Argentina,ARG,2006,3363.7136
Argentina,ARG,2007,2797.5244
Argentina,ARG,2008,2770.5142
Argentina,ARG,2009,3011.1445
Argentina,ARG,2010,2972.9172
Argentina,ARG,2011,2797.7024
Argentina,ARG,2012,2690.7603
Argentina,ARG,2013,2915.9514
Argentina,ARG,2014,2860.5552
